epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7686,1.43874,3.11792,2.52211,1.17571,0.076,0.84444,0.08819,0.03704,0.02733,0.3037,0.01954,0.00618,1.78046,13.3851,2.48169,1.26582,0.0901,0.0001,0.0001
2,162.311,1.28425,2.23048,1.69722,1.06625,0.075,0.83333,0.6408,0.26391,0,0,0,0,1.61818,60.3945,2.40694,1.22142,0.0792058,0.000205842,0.000205842
3,226.084,1.25876,2.12989,1.43069,1.106,0.05167,0.57407,0.41144,0.1502,0.00033,0.0037,0.00017,2e-05,1.49416,54.5109,2.57716,1.21579,0.0683073,0.000307328,0.000307328
4,290.236,1.2488,2.08818,1.237,1.08289,0.06233,0.69259,0.26402,0.10166,0,0,0,0,1.42578,39.718,2.65057,1.18062,0.0574045,0.000404458,0.000404458
5,353.958,1.2627,2.05872,1.16776,1.0896,0.08667,0.96296,0.59487,0.32611,0.05433,0.6037,0.24986,0.06922,1.35829,11.8258,2.34924,1.11103,0.0464972,0.000497232,0.000497232
6,417.686,1.17425,1.90138,1.13018,1.07284,0.8676,0.58246,0.84398,0.50903,0.7843,0.49827,0.68986,0.25909,1.25221,5.17251,2.0153,1.10682,0.0355857,0.00058565,0.00058565
7,481.03,1.2191,1.89181,1.01985,1.06747,0.94491,0.82578,0.954,0.56661,0.911,0.79615,0.90169,0.44983,1.2936,3.06172,1.65086,1.15138,0.0246697,0.000669712,0.000669712
8,544.558,1.1481,1.80364,1.03448,1.06673,0.96038,0.80801,0.96998,0.5787,0.94277,0.79319,0.93862,0.51088,1.29863,2.22368,1.69091,1.14952,0.0137494,0.000749418,0.000749418
9,606.227,1.19941,1.99896,1.04545,1.05942,0.97447,0.56546,0.95266,0.60305,0.97447,0.56546,0.95447,0.51192,1.25108,1.93086,1.90218,1.10539,0.00282477,0.000824768,0.000824768
10,670.539,1.16119,1.79266,1.0021,1.05784,0.96843,0.87407,0.9723,0.63351,0.97253,0.87778,0.97872,0.53955,1.21497,1.85643,1.508,1.06386,0.0008218,0.0008218,0.0008218
11,734.741,1.16098,1.80268,0.94432,1.03659,0.96651,0.96206,0.98462,0.64717,0.96651,0.96206,0.98389,0.54944,1.18229,1.7917,1.00697,1.0437,0.000802,0.000802,0.000802
12,800.648,1.16572,1.78743,0.8934,1.01428,0.96272,0.95641,0.98841,0.65793,0.95526,0.949,0.98417,0.55286,1.16131,1.71442,0.82183,1.05235,0.0007822,0.0007822,0.0007822
