epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0367,1.68905,4.11153,3.18677,1.2301,0.06733,0.74815,0.29737,0.10054,0,0,0,0,1.95202,32.5398,2.85923,1.39699,0.09604,4e-05,4e-05
2,92.2143,1.60293,2.89865,2.26172,1.10007,0.05267,0.58519,0.13994,0.02827,0.00033,0.0037,0.00031,9e-05,2.4718,36.0082,2.64897,1.68364,0.0910882,8.8218e-05,8.8218e-05
3,127.405,1.49659,2.53946,1.68186,1.07986,0.05833,0.64815,0.17928,0.03797,0.00067,0.00741,0.00043,0.00017,2.39252,28.2501,2.59949,1.64512,0.0861345,0.000134456,0.000134456
4,163.029,1.43891,2.38208,1.55572,1.0807,0.06767,0.75185,0.36243,0.09978,0,0,0,0,2.03276,21.3889,2.43715,1.45818,0.0811787,0.000178714,0.000178714
5,196.025,1.37789,2.27388,1.43233,1.06249,0.06533,0.72593,0.38012,0.12376,0.00033,0.0037,0.00017,7e-05,1.84533,32.3927,2.34017,1.38589,0.076221,0.000220992,0.000220992
6,229.507,1.33051,2.17587,1.34773,1.04319,0.06433,0.71481,0.42699,0.16197,0.001,0.01111,0.00563,0.00366,1.74664,39.0339,2.28458,1.34179,0.0712613,0.00026129,0.00026129
7,265.3,1.35739,2.21802,1.1791,1.01331,0.07967,0.88519,0.59248,0.26321,0.02012,0.06667,0.0116,0.00329,1.56668,45.7528,2.16872,1.21856,0.0662996,0.000299608,0.000299608
8,302.713,1.28244,2.07348,1.184,1.03954,0.38722,0.7,0.57632,0.2561,0.03162,0.10741,0.01622,0.00481,1.5435,41.7596,2.15692,1.19942,0.0613359,0.000335946,0.000335946
9,339.549,1.20602,1.83615,1.08715,1.05029,0.58789,0.43704,0.53982,0.22304,0.0813,0.11111,0.02543,0.00579,1.64438,33.9998,2.18369,1.25493,0.0563703,0.000370304,0.000370304
10,376.994,1.32028,2.054,1.06298,1.05391,0.84807,0.45185,0.76432,0.37229,0.28557,0.15926,0.12545,0.03242,1.4856,17.972,1.97409,1.12719,0.0514027,0.000402682,0.000402682
11,411.96,1.19295,1.8728,1.02812,1.02048,0.87741,0.60967,0.87034,0.47262,0.49163,0.34815,0.28856,0.07757,1.4304,11.6455,1.82266,1.08665,0.0464331,0.00043308,0.00043308
12,446.466,1.22903,1.97282,1.0314,1.02957,0.91277,0.77509,0.9224,0.52127,0.62926,0.53435,0.46395,0.13313,1.42057,8.46325,1.7338,1.09453,0.0414615,0.000461498,0.000461498
13,480.43,1.23574,1.85103,0.98318,1.02034,0.89583,0.79627,0.92287,0.50065,0.69585,0.61852,0.57731,0.17632,1.46466,6.76095,1.69901,1.12834,0.0364879,0.000487936,0.000487936
14,515.677,1.22258,1.8678,0.95422,1.02639,0.89583,0.79627,0.92287,0.50065,0.69585,0.61852,0.57731,0.17632,1.46466,6.76095,1.69901,1.12834,0.0315124,0.000512394,0.000512394
15,550.814,1.24981,1.84708,0.94687,1.03866,0.8676,0.82517,0.91484,0.48528,0.77024,0.73257,0.74474,0.26937,1.46395,4.91376,1.68057,1.14418,0.0265349,0.000534872,0.000534872
16,585.403,1.1817,1.72605,0.93774,1.01557,0.90277,0.89411,0.95451,0.56553,0.86011,0.85185,0.8681,0.36473,1.30278,3.61638,1.55949,1.09252,0.0215554,0.00055537,0.00055537
17,620.62,1.21087,1.87095,0.97985,1.03932,0.94341,0.92615,0.9758,0.61545,0.91267,0.89021,0.94214,0.45154,1.22292,2.71067,1.38639,1.05324,0.0165739,0.000573888,0.000573888
18,656.269,1.21607,1.80527,0.90215,1.01972,0.94341,0.92615,0.9758,0.61545,0.91267,0.89021,0.94214,0.45154,1.22292,2.71067,1.38639,1.05324,0.0115904,0.000590426,0.000590426
19,689.934,1.23113,1.84632,0.92452,1.01016,0.96559,0.93533,0.98547,0.63473,0.94479,0.91111,0.95688,0.48284,1.21625,2.265,1.21511,1.05282,0.00660498,0.000604984,0.000604984
20,724.864,1.1502,1.6855,0.89717,0.99492,0.97607,0.94815,0.99056,0.6327,0.96532,0.92777,0.97862,0.51506,1.25338,1.98557,1.07224,1.06744,0.00161756,0.000617562,0.000617562
