epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7232,2.01683,4.03228,3.57392,1.4262,0.04133,0.45926,0.0338,0.01392,0.035,0.38889,0.02707,0.00973,1.3571,2.79793,3.49035,1.16342,8e-05,8e-05,8e-05
2,86.3163,1.66101,3.08805,3.21934,1.17344,0.08267,0.91852,0.15189,0.06292,0.08167,0.90741,0.14476,0.05389,1.4721,2.29008,3.33549,1.12482,0.000176436,0.000176436,0.000176436
3,118.695,1.48523,2.36377,2.57756,1.07284,0.084,0.93333,0.20197,0.08495,0.081,0.9,0.18965,0.08674,1.42326,2.11615,3.25759,1.11042,0.000268912,0.000268912,0.000268912
4,150.636,1.5195,2.36038,1.74166,1.08614,0.083,0.92222,0.54285,0.25458,0.08267,0.91852,0.5315,0.21979,1.41882,2.21458,2.91418,1.13613,0.000357428,0.000357428,0.000357428
5,181.861,1.41686,2.2566,1.2213,1.05577,0.08533,0.94815,0.83974,0.40649,0.08567,0.95185,0.81427,0.36484,1.43731,2.15569,2.57026,1.17901,0.000441984,0.000441984,0.000441984
6,213.775,1.37505,2.11076,1.13864,1.03986,0.086,0.95556,0.79493,0.41742,0.08667,0.96296,0.80338,0.36828,1.42419,2.0644,2.51223,1.15349,0.00052258,0.00052258,0.00052258
7,247.74,1.38035,2.15813,1.00169,1.00902,0.08667,0.96296,0.43191,0.22964,0.08433,0.93704,0.41017,0.17639,1.39922,2.50424,2.67428,1.17739,0.000599216,0.000599216,0.000599216
8,279.67,1.28895,1.99313,0.97323,1.0347,0.083,0.92222,0.21138,0.11104,0.08033,0.89259,0.1912,0.08741,1.5171,2.90364,2.87999,1.27626,0.000671892,0.000671892,0.000671892
9,312.879,1.1896,1.78878,0.92867,1.02482,0.08567,0.95185,0.42233,0.20968,0.084,0.93333,0.38656,0.17102,1.50322,2.6034,2.58502,1.25075,0.000740608,0.000740608,0.000740608
10,346.208,1.3393,2.01941,0.95941,1.04932,0.86599,0.84074,0.93398,0.56307,0.83357,0.7963,0.88551,0.3967,1.28741,2.4096,1.49316,1.09024,0.000805364,0.000805364,0.000805364
11,378.661,1.21229,1.83166,0.91428,1.01319,0.85597,0.82222,0.91217,0.52491,0.83535,0.8037,0.88015,0.46277,1.30981,2.1988,1.42459,1.12927,0.00086616,0.00086616,0.00086616
12,410.025,1.28848,2.05999,0.91815,1.02616,0.87368,0.85185,0.92845,0.53931,0.86042,0.8219,0.91313,0.50277,1.30811,2.02404,1.29716,1.13495,0.000922996,0.000922996,0.000922996
13,442.667,1.26791,1.84526,0.88845,1.00644,0.94586,0.91481,0.9724,0.58963,0.91368,0.86243,0.93003,0.44727,1.28291,2.05128,1.12233,1.07575,0.000975872,0.000975872,0.000975872
14,473.965,1.25513,1.9739,0.89306,1.01161,0.94586,0.91481,0.9724,0.58963,0.91368,0.86243,0.93003,0.44727,1.28291,2.05128,1.12233,1.07575,0.00102479,0.00102479,0.00102479
15,509.196,1.30109,1.87566,0.88521,1.03583,0.96548,0.93223,0.98273,0.6103,0.93106,0.90035,0.94806,0.45474,1.24321,1.90838,1.05148,1.05036,0.00106974,0.00106974,0.00106974
16,540.48,1.18652,1.7568,0.88273,0.99925,0.92521,0.9037,0.97668,0.64248,0.91384,0.89259,0.9639,0.50392,1.15602,1.95522,1.04512,1.02598,0.00111074,0.00111074,0.00111074
17,572.104,1.22548,1.91264,0.90637,1.02136,0.96124,0.91841,0.97705,0.63704,0.95374,0.91631,0.97974,0.5284,1.21515,1.88868,0.97727,1.05777,0.00114778,0.00114778,0.00114778
18,605.47,1.27868,1.81185,0.84451,1.02985,0.96124,0.91841,0.97705,0.63704,0.95374,0.91631,0.97974,0.5284,1.21515,1.88868,0.97727,1.05777,0.00118085,0.00118085,0.00118085
19,637.219,1.23526,1.84476,0.85402,1.00296,0.97352,0.95311,0.98756,0.63086,0.96937,0.93779,0.98254,0.50135,1.20517,1.73273,0.87332,1.05072,0.00120997,0.00120997,0.00120997
20,668.958,1.17334,1.71114,0.84073,0.99948,0.96316,0.96829,0.99056,0.6645,0.95211,0.95718,0.97664,0.54501,1.11701,1.67952,0.8493,1.03723,0.00123512,0.00123512,0.00123512
21,699.926,1.166,1.68107,0.81482,0.99914,0.96316,0.96829,0.99056,0.6645,0.95211,0.95718,0.97664,0.54501,1.11701,1.67952,0.8493,1.03723,0.001208,0.001208,0.001208
22,732.112,1.12716,1.63842,0.85075,1.00449,0.97374,0.96124,0.99007,0.65916,0.96999,0.95754,0.98877,0.54953,1.13329,1.71408,0.8519,1.05733,0.0011684,0.0011684,0.0011684
23,765.338,1.2173,1.86343,0.81778,0.98854,0.9592,0.95769,0.9899,0.6407,0.95941,0.96292,0.98322,0.53688,1.19599,1.59732,0.8391,1.06678,0.0011288,0.0011288,0.0011288
24,798.087,1.18006,1.72238,0.78336,0.97565,0.9592,0.95769,0.9899,0.6407,0.95941,0.96292,0.98322,0.53688,1.19599,1.59732,0.8391,1.06678,0.0010892,0.0010892,0.0010892
25,831.191,1.15402,1.73271,0.79771,0.98018,0.95876,0.96296,0.99157,0.68319,0.96603,0.96296,0.99125,0.55473,1.09188,1.56851,0.79059,1.01645,0.0010496,0.0010496,0.0010496
26,862.376,1.15116,1.7094,0.81027,0.99878,0.95876,0.96296,0.99157,0.68319,0.96603,0.96296,0.99125,0.55473,1.09188,1.56851,0.79059,1.01645,0.00101,0.00101,0.00101
27,896.18,1.14462,1.70584,0.7963,0.99435,0.96342,0.98148,0.99325,0.68589,0.96213,0.97778,0.99125,0.57228,1.08706,1.5678,0.77908,1.01078,0.0009704,0.0009704,0.0009704
28,928.948,1.16761,1.66252,0.78659,0.97668,0.9739,0.96741,0.99204,0.68769,0.97019,0.96444,0.98833,0.55669,1.06514,1.56803,0.78605,1.013,0.0009308,0.0009308,0.0009308
29,964.842,1.09785,1.68818,0.77591,0.9696,0.9739,0.96741,0.99204,0.68769,0.97019,0.96444,0.98833,0.55669,1.06514,1.56803,0.78605,1.013,0.0008912,0.0008912,0.0008912
30,998.345,1.08039,1.55213,0.76459,0.96607,0.95928,0.97407,0.99182,0.68478,0.95928,0.97407,0.99182,0.57079,1.08609,1.51661,0.783,1.01998,0.0008516,0.0008516,0.0008516
31,1032.09,1.09465,1.58128,0.76548,0.96143,0.98494,0.96911,0.99316,0.69698,0.98494,0.96911,0.99303,0.58536,1.05016,1.50629,0.75736,1.00536,0.000812,0.000812,0.000812
32,1064.91,1.07834,1.51971,0.77391,0.97488,0.98494,0.96911,0.99316,0.69698,0.98494,0.96911,0.99303,0.58536,1.05016,1.50629,0.75736,1.00536,0.0007724,0.0007724,0.0007724
33,1096,1.09272,1.61665,0.75442,0.96506,0.98073,0.97407,0.9934,0.69445,0.98127,0.97038,0.99329,0.58498,1.05024,1.48969,0.74033,0.99457,0.0007328,0.0007328,0.0007328
34,1128.35,1.08131,1.59474,0.73084,0.95038,0.98073,0.97407,0.9934,0.69445,0.98127,0.97038,0.99329,0.58498,1.05024,1.48969,0.74033,0.99457,0.0006932,0.0006932,0.0006932
35,1160.42,1.03066,1.4783,0.71476,0.96879,0.97954,0.97407,0.99363,0.7018,0.97954,0.97407,0.99363,0.58509,1.0302,1.47218,0.72182,0.98915,0.0006536,0.0006536,0.0006536
36,1192.14,1.02604,1.42328,0.73139,0.97756,0.98541,0.97407,0.99375,0.70027,0.98278,0.97037,0.99302,0.59326,1.04244,1.46442,0.71269,0.99705,0.000614,0.000614,0.000614
37,1229.03,1.08246,1.61584,0.73453,0.96765,0.98541,0.97407,0.99375,0.70027,0.98278,0.97037,0.99302,0.59326,1.04244,1.46442,0.71269,0.99705,0.0005744,0.0005744,0.0005744
38,1260.39,1.06389,1.55455,0.75049,0.97665,0.98875,0.97622,0.99395,0.70651,0.98875,0.97622,0.99322,0.59424,1.04155,1.45488,0.70237,0.9987,0.0005348,0.0005348,0.0005348
39,1296.04,1.16358,1.74306,0.74255,0.96277,0.98874,0.97559,0.99406,0.70586,0.98874,0.97559,0.99385,0.58736,1.02017,1.42397,0.68942,0.9917,0.0004952,0.0004952,0.0004952
40,1330.83,1.04638,1.52421,0.71686,0.97326,0.98874,0.97559,0.99406,0.70586,0.98874,0.97559,0.99385,0.58736,1.02017,1.42397,0.68942,0.9917,0.0004556,0.0004556,0.0004556
41,1360.25,1.02449,1.57643,0.96314,0.96394,0.99132,0.97407,0.99406,0.71274,0.99132,0.97407,0.99385,0.57634,1.02326,1.41896,0.69268,0.99478,0.000416,0.000416,0.000416
42,1389.48,1.01953,1.51646,0.84792,0.97739,0.99132,0.97407,0.99406,0.71274,0.99132,0.97407,0.99385,0.57634,1.02326,1.41896,0.69268,0.99478,0.0003764,0.0003764,0.0003764
43,1416.97,1.02765,1.53564,0.83934,0.97345,0.97724,0.97407,0.99331,0.71477,0.97724,0.97407,0.99335,0.57334,1.0132,1.42734,0.71486,0.9937,0.0003368,0.0003368,0.0003368
44,1447.19,0.97035,1.44564,0.7794,0.95509,0.97006,0.95988,0.99142,0.71234,0.97006,0.95988,0.99118,0.58395,0.99831,1.43028,0.75675,0.99194,0.0002972,0.0002972,0.0002972
45,1476.08,0.97302,1.43139,0.77423,0.98719,0.97006,0.95988,0.99142,0.71234,0.97006,0.95988,0.99118,0.58395,0.99831,1.43028,0.75675,0.99194,0.0002576,0.0002576,0.0002576
46,1507.46,0.96624,1.41413,0.77217,0.95736,0.9811,0.96111,0.99182,0.71267,0.98109,0.96066,0.99161,0.58851,0.99637,1.42526,0.75915,0.99159,0.000218,0.000218,0.000218
47,1536.59,0.99542,1.40356,0.80133,0.9564,0.98096,0.96667,0.99261,0.71076,0.97824,0.96296,0.99233,0.5913,0.99323,1.42651,0.74154,0.98968,0.0001784,0.0001784,0.0001784
48,1565.2,0.9926,1.44721,0.76537,0.97099,0.98096,0.96667,0.99261,0.71076,0.97824,0.96296,0.99233,0.5913,0.99323,1.42651,0.74154,0.98968,0.0001388,0.0001388,0.0001388
49,1593.51,1.00634,1.50825,0.78525,0.97381,0.98763,0.96667,0.99342,0.71027,0.98475,0.95639,0.99328,0.58867,0.99322,1.43122,0.72609,0.98876,9.92e-05,9.92e-05,9.92e-05
50,1621.69,1.01637,1.49654,0.77473,0.95652,0.98763,0.96667,0.99342,0.71027,0.98475,0.95639,0.99328,0.58867,0.99322,1.43122,0.72609,0.98876,5.96e-05,5.96e-05,5.96e-05
