epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.568,1.43874,3.11792,2.52211,1.17571,0.076,0.84444,0.08819,0.03704,0.02733,0.3037,0.01954,0.00618,1.78046,13.3851,2.48169,1.26582,0.0901,0.0001,0.0001
2,189.976,1.28413,2.23084,1.69899,1.06604,0.07633,0.84815,0.65533,0.27136,0,0,0,0,1.61509,60.2587,2.40225,1.21703,0.0791996,0.000199605,0.000199605
3,267.231,1.2571,2.13373,1.42864,1.10315,0.06,0.66667,0.49986,0.1848,0,0,0,0,1.47724,54.2616,2.55569,1.2008,0.0682883,0.00028832,0.00028832
4,338.09,1.24458,2.08716,1.23253,1.07864,0.06867,0.76296,0.40066,0.16713,0.00033,0.0037,0.00017,3e-05,1.37685,37.5316,2.61962,1.15871,0.0573661,0.000366145,0.000366145
5,418.465,1.26233,2.05886,1.17223,1.08629,0.087,0.96667,0.68524,0.37746,0.056,0.62222,0.31825,0.09405,1.34286,10.8186,2.35449,1.09742,0.0464331,0.00043308,0.00043308
6,496.479,1.15967,1.89269,1.12903,1.06393,0.93865,0.62328,0.90062,0.55525,0.8839,0.6037,0.78557,0.32475,1.21638,4.43478,1.98613,1.06983,0.0354891,0.000489125,0.000489125
7,575.658,1.20222,1.88432,1.00511,1.05731,0.96278,0.86216,0.97498,0.60684,0.92969,0.83253,0.92487,0.4906,1.23868,2.62369,1.56995,1.1051,0.0245343,0.00053428,0.00053428
8,662.482,1.13444,1.79037,1.03353,1.0567,0.96906,0.87037,0.97774,0.60545,0.95669,0.85926,0.96658,0.53905,1.26349,2.1036,1.52309,1.12379,0.0135685,0.000568545,0.000568545
9,747.124,1.17827,2.00484,1.03278,1.05286,0.95099,0.82593,0.96748,0.60825,0.95952,0.83333,0.97189,0.53691,1.2611,1.84503,1.63691,1.11166,0.00259192,0.00059192,0.00059192
10,823.209,1.14403,1.76533,0.98263,1.05593,0.97465,0.87407,0.98241,0.63449,0.97877,0.87778,0.98137,0.54995,1.2089,1.80846,1.50925,1.07508,0.0005545,0.0005545,0.0005545
11,890.74,1.12548,1.81957,1.07847,1.06847,0.96738,0.92593,0.98666,0.65319,0.96899,0.9259,0.97628,0.55117,1.1718,1.75403,1.30238,1.04207,0.000505,0.000505,0.000505
12,967.029,1.07812,1.73764,1.01133,1.0451,0.9739,0.94815,0.98824,0.66345,0.96175,0.93704,0.97573,0.56243,1.15054,1.6805,1.05643,1.02041,0.0004555,0.0004555,0.0004555
13,1036.56,1.09638,1.74462,1.01864,1.02258,0.9772,0.92593,0.98598,0.65814,0.97234,0.9115,0.98252,0.56116,1.1538,1.66704,1.03849,1.02608,0.000406,0.000406,0.000406
14,1101.16,1.11237,1.78881,1.05439,1.01819,0.97605,0.93333,0.98775,0.66406,0.98412,0.91835,0.98496,0.56237,1.13904,1.65228,0.9839,1.02607,0.0003565,0.0003565,0.0003565
15,1170.16,1.03582,1.64359,0.9673,1.02361,0.9636,0.97037,0.99172,0.6751,0.97009,0.96098,0.99091,0.56803,1.107,1.59589,0.84992,1.02504,0.000307,0.000307,0.000307
16,1236.4,1.02253,1.63477,0.97759,1.01977,0.95567,0.97037,0.99125,0.67765,0.96193,0.95926,0.99034,0.57473,1.09957,1.58076,0.81774,1.02454,0.0002575,0.0002575,0.0002575
17,1311.93,1.04428,1.66421,0.98635,1.0461,0.96824,0.96667,0.99099,0.68673,0.96453,0.96296,0.98993,0.58908,1.07202,1.56531,0.77007,1.01991,0.000208,0.000208,0.000208
18,1396.15,1.02468,1.62304,0.94208,1.00657,0.96748,0.96667,0.99124,0.69124,0.96364,0.96296,0.99036,0.58573,1.05792,1.55617,0.76269,1.01564,0.0001585,0.0001585,0.0001585
19,1471.24,0.98603,1.53794,0.89401,1.02258,0.95783,0.96296,0.9909,0.69574,0.95783,0.96296,0.99052,0.5829,1.05361,1.54723,0.75711,1.01432,0.000109,0.000109,0.000109
20,1547.3,0.99262,1.55723,0.89253,1.02552,0.96319,0.96927,0.99144,0.69865,0.96315,0.96813,0.98982,0.58001,1.05179,1.53554,0.74725,1.01224,5.95e-05,5.95e-05,5.95e-05
