epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.253,0.1088,0.20791,1.96307,0.78906,0.0515,0.57974,0.1346,0.03697,0.01417,0.15947,0.03286,0.00627,0.19783,0.73168,2.64124,1.30874,0.08119,0.00019,0.00019
2,302.295,0.09363,0.16371,1.21347,0.75282,0.0755,0.84991,0.45602,0.18583,0.01233,0.13884,0.03426,0.00623,0.14103,0.74213,2.40445,0.98119,0.0613861,0.000386139,0.000386139
3,442.621,0.09311,0.152,1.02286,0.72653,0.09748,0.93809,0.83995,0.40168,0.28267,0.30769,0.19631,0.04363,0.11993,0.55091,2.22118,0.87978,0.0415783,0.000578318,0.000578318
4,587.905,0.09344,0.14844,0.93952,0.71478,0.88064,0.83865,0.91483,0.54282,0.78952,0.74859,0.75571,0.29629,0.09064,0.2605,1.46802,0.75382,0.0217665,0.000766537,0.000766537
5,729.285,0.09111,0.14594,0.92559,0.71677,0.90712,0.86117,0.93042,0.57117,0.87608,0.8424,0.88579,0.43065,0.08424,0.18372,1.16489,0.72682,0.0019508,0.000950796,0.000950796
6,876.501,0.086,0.13769,0.86301,0.71591,0.96282,0.91182,0.96761,0.61705,0.94857,0.89979,0.94937,0.51016,0.08158,0.14845,0.87382,0.73052,0.0009505,0.0009505,0.0009505
7,1018.81,0.082,0.13204,0.83578,0.71402,0.93897,0.93809,0.96789,0.64265,0.93314,0.93058,0.96254,0.54963,0.0763,0.12669,0.76459,0.71208,0.0009406,0.0009406,0.0009406
8,1159.5,0.08306,0.13515,0.80844,0.70875,0.96964,0.93809,0.97573,0.65771,0.95493,0.91745,0.95304,0.52904,0.07527,0.12467,0.73575,0.71045,0.0009307,0.0009307,0.0009307
9,1303.29,0.08075,0.12728,0.77563,0.69295,0.98235,0.93983,0.98196,0.67254,0.97647,0.9342,0.97987,0.56651,0.07157,0.1176,0.69881,0.69734,0.0009208,0.0009208,0.0009208
10,1445.24,0.08125,0.12636,0.77684,0.70569,0.98214,0.94371,0.98312,0.6702,0.97811,0.93996,0.98032,0.5712,0.0727,0.11458,0.68988,0.69862,0.0009109,0.0009109,0.0009109
11,1587.6,0.0804,0.12177,0.77073,0.69913,0.97699,0.95604,0.98012,0.67679,0.97672,0.95122,0.97675,0.55219,0.07193,0.11536,0.67663,0.7019,0.000901,0.000901,0.000901
12,1708.92,0.07981,0.12383,0.76581,0.69082,0.97124,0.95043,0.97994,0.68396,0.97468,0.93882,0.97723,0.57815,0.0711,0.11235,0.67916,0.69488,0.0008911,0.0008911,0.0008911
13,1819.44,0.07999,0.12377,0.74987,0.69043,0.98065,0.95101,0.98517,0.67705,0.97688,0.95133,0.98173,0.56127,0.0721,0.11039,0.68388,0.69798,0.0008812,0.0008812,0.0008812
14,1931.46,0.07925,0.12293,0.7512,0.69583,0.9808,0.95852,0.98629,0.6873,0.97886,0.95561,0.97863,0.57033,0.06925,0.10865,0.65771,0.68981,0.0008713,0.0008713,0.0008713
15,2045.01,0.07835,0.1226,0.72754,0.67978,0.98451,0.95122,0.98568,0.68386,0.97942,0.94559,0.97605,0.56199,0.0716,0.10602,0.66125,0.70123,0.0008614,0.0008614,0.0008614
16,2156.42,0.07625,0.11709,0.71369,0.67634,0.97156,0.96154,0.98156,0.70448,0.97152,0.95986,0.97995,0.59201,0.06733,0.10388,0.63907,0.68236,0.0008515,0.0008515,0.0008515
17,2268.74,0.07548,0.11443,0.70575,0.67667,0.97888,0.96435,0.98817,0.69804,0.97499,0.951,0.97656,0.56968,0.06794,0.1037,0.62677,0.68519,0.0008416,0.0008416,0.0008416
18,2381.62,0.07529,0.11707,0.69731,0.66805,0.98269,0.95853,0.98429,0.7015,0.98073,0.9551,0.97992,0.59412,0.06657,0.10323,0.61784,0.67807,0.0008317,0.0008317,0.0008317
19,2493.21,0.07366,0.11281,0.67706,0.66843,0.979,0.96193,0.98712,0.70224,0.97518,0.95818,0.97628,0.5693,0.06647,0.10802,0.61084,0.67835,0.0008218,0.0008218,0.0008218
20,2889.8,0.0742,0.114,0.67414,0.67267,0.97904,0.96248,0.98965,0.70759,0.97713,0.9606,0.98617,0.58675,0.06687,0.10535,0.60695,0.67817,0.0008119,0.0008119,0.0008119
21,3002.48,0.07407,0.11153,0.67572,0.66666,0.98166,0.96435,0.988,0.69174,0.97211,0.9606,0.98394,0.57556,0.06891,0.10434,0.61196,0.68165,0.000802,0.000802,0.000802
22,3114.06,0.07409,0.11448,0.68533,0.67333,0.97648,0.95685,0.98829,0.69806,0.96774,0.95675,0.97956,0.56758,0.06787,0.10285,0.61598,0.68094,0.0007921,0.0007921,0.0007921
23,3232,0.07262,0.10999,0.65947,0.66464,0.9754,0.96692,0.98895,0.69975,0.97158,0.96198,0.98534,0.59318,0.06662,0.10194,0.59656,0.67824,0.0007822,0.0007822,0.0007822
24,3345.37,0.07025,0.10529,0.65017,0.67265,0.98552,0.96811,0.99065,0.69889,0.98321,0.96248,0.98751,0.58483,0.06598,0.10154,0.59295,0.67624,0.0007723,0.0007723,0.0007723
25,3458.74,0.07256,0.11254,0.66575,0.66809,0.99025,0.95256,0.98836,0.69358,0.98635,0.9488,0.98119,0.58942,0.06707,0.10052,0.59217,0.68384,0.0007624,0.0007624,0.0007624
26,3573,0.07116,0.10857,0.64603,0.65861,0.98644,0.95872,0.9895,0.70906,0.98039,0.9531,0.98025,0.58142,0.06597,0.10186,0.5744,0.67543,0.0007525,0.0007525,0.0007525
27,3684.05,0.07019,0.10696,0.63424,0.66066,0.98886,0.96435,0.99045,0.70176,0.98456,0.95742,0.98211,0.60667,0.06668,0.10085,0.56567,0.67862,0.0007426,0.0007426,0.0007426
28,3797.32,0.07168,0.10733,0.63661,0.66476,0.98465,0.96257,0.99032,0.70733,0.98268,0.95816,0.98169,0.59128,0.06553,0.10263,0.57334,0.67321,0.0007327,0.0007327,0.0007327
29,3911.16,0.07158,0.1085,0.63465,0.66032,0.98489,0.96435,0.99045,0.71229,0.98265,0.95656,0.98013,0.59264,0.06403,0.09858,0.5662,0.66653,0.0007228,0.0007228,0.0007228
30,4022.7,0.07129,0.10726,0.6261,0.65454,0.98729,0.96248,0.99062,0.70288,0.9894,0.95497,0.98399,0.60902,0.06651,0.09764,0.56776,0.67427,0.0007129,0.0007129,0.0007129
31,4131.5,0.07019,0.1067,0.63983,0.66403,0.98658,0.96623,0.99034,0.70155,0.97865,0.95872,0.98098,0.57504,0.06593,0.09714,0.57069,0.67449,0.000703,0.000703,0.000703
32,4240.7,0.06976,0.10378,0.64705,0.66199,0.99611,0.96114,0.99051,0.70747,0.99416,0.95844,0.98804,0.59582,0.06465,0.0967,0.56266,0.67112,0.0006931,0.0006931,0.0006931
33,4353.75,0.06997,0.10623,0.61754,0.65026,0.98644,0.95558,0.98899,0.70918,0.98646,0.95679,0.98941,0.58703,0.06522,0.09899,0.5665,0.67198,0.0006832,0.0006832,0.0006832
34,4464.54,0.06824,0.10231,0.61709,0.66334,0.99416,0.95858,0.9906,0.71436,0.9922,0.95473,0.98699,0.59427,0.06445,0.09656,0.56213,0.66595,0.0006733,0.0006733,0.0006733
35,4575.53,0.07049,0.10661,0.61662,0.65983,0.98467,0.96432,0.99051,0.70832,0.98162,0.96435,0.99063,0.59617,0.06478,0.09694,0.55944,0.6713,0.0006634,0.0006634,0.0006634
36,4686.3,0.06936,0.10366,0.60129,0.65925,0.98602,0.96623,0.99033,0.72245,0.98654,0.96252,0.9898,0.60158,0.06363,0.09556,0.55294,0.66454,0.0006535,0.0006535,0.0006535
37,4795.62,0.06791,0.10195,0.61625,0.66196,0.99038,0.96576,0.9913,0.7151,0.98461,0.96034,0.98845,0.60463,0.06347,0.09544,0.54921,0.66375,0.0006436,0.0006436,0.0006436
38,4906.19,0.06906,0.10639,0.61233,0.64967,0.98806,0.96435,0.99064,0.71276,0.98613,0.96248,0.98973,0.60342,0.06461,0.09631,0.55538,0.66675,0.0006337,0.0006337,0.0006337
39,5018.28,0.06829,0.10312,0.60787,0.65411,0.98265,0.96811,0.99103,0.71648,0.97961,0.96811,0.99116,0.61628,0.06386,0.09449,0.5426,0.66507,0.0006238,0.0006238,0.0006238
40,5131.2,0.0683,0.10277,0.59941,0.65567,0.98088,0.96275,0.99084,0.71961,0.97283,0.96811,0.98868,0.59377,0.06314,0.09668,0.52888,0.66395,0.0006139,0.0006139,0.0006139
41,5245.02,0.0679,0.10324,0.58854,0.65446,0.98843,0.96134,0.99183,0.71938,0.98843,0.96134,0.99106,0.60872,0.06346,0.09567,0.53262,0.66878,0.000604,0.000604,0.000604
42,5362.59,0.0676,0.1042,0.59872,0.65403,0.98816,0.96435,0.99133,0.71471,0.98906,0.96623,0.9913,0.58414,0.06407,0.09561,0.53892,0.67084,0.0005941,0.0005941,0.0005941
43,5474.43,0.06703,0.10077,0.58439,0.65113,0.98858,0.95872,0.99089,0.7214,0.98846,0.96459,0.99106,0.59942,0.06374,0.09472,0.53598,0.66393,0.0005842,0.0005842,0.0005842
44,5585.57,0.06907,0.10421,0.59257,0.65831,0.9861,0.95685,0.99141,0.7159,0.9861,0.95685,0.99114,0.61712,0.06401,0.09359,0.54145,0.66409,0.0005743,0.0005743,0.0005743
45,5698.23,0.06913,0.10317,0.59167,0.64797,0.97476,0.96435,0.99077,0.70661,0.96385,0.96435,0.99005,0.57831,0.06455,0.09548,0.5414,0.6679,0.0005644,0.0005644,0.0005644
46,5808.7,0.06776,0.101,0.59659,0.65329,0.97548,0.97034,0.99226,0.71811,0.97548,0.97034,0.99219,0.6035,0.06397,0.09387,0.52961,0.66309,0.0005545,0.0005545,0.0005545
47,5920.92,0.06754,0.10195,0.57777,0.64926,0.98837,0.95681,0.99174,0.70413,0.98641,0.95352,0.98251,0.59119,0.06475,0.09473,0.5308,0.66968,0.0005446,0.0005446,0.0005446
48,6031.03,0.06726,0.10093,0.57726,0.64703,0.9922,0.95495,0.99113,0.7122,0.99024,0.95179,0.98841,0.59155,0.06268,0.09494,0.51831,0.65968,0.0005347,0.0005347,0.0005347
49,6142.09,0.06664,0.09991,0.56508,0.64282,0.98867,0.9531,0.99141,0.71853,0.98639,0.95186,0.98869,0.61621,0.06223,0.09202,0.52245,0.66128,0.0005248,0.0005248,0.0005248
50,6253.31,0.06764,0.10412,0.56725,0.64107,0.98493,0.95872,0.99221,0.70839,0.98105,0.9606,0.98835,0.59508,0.06282,0.09351,0.51706,0.66374,0.0005149,0.0005149,0.0005149
51,6384.42,0.06738,0.10208,0.57698,0.64221,0.98679,0.96248,0.9911,0.71911,0.98679,0.96248,0.99233,0.60734,0.06258,0.0937,0.51128,0.65949,0.000505,0.000505,0.000505
52,6497.95,0.06636,0.09999,0.56961,0.64311,0.98842,0.96119,0.99087,0.7138,0.98843,0.96203,0.99151,0.60085,0.06436,0.09377,0.52016,0.67219,0.0004951,0.0004951,0.0004951
53,6612.56,0.06671,0.10074,0.56346,0.64687,0.97735,0.97373,0.99205,0.72611,0.9831,0.96435,0.99107,0.60709,0.06182,0.09362,0.51512,0.65491,0.0004852,0.0004852,0.0004852
54,6726.54,0.06968,0.10568,0.58734,0.65423,0.98738,0.96248,0.99127,0.7146,0.98738,0.96248,0.99073,0.60923,0.06282,0.09407,0.51882,0.65782,0.0004753,0.0004753,0.0004753
55,6840.65,0.06668,0.10053,0.5644,0.64797,0.98735,0.95685,0.99076,0.70965,0.97836,0.96811,0.98983,0.60292,0.06454,0.09196,0.51768,0.67497,0.0004654,0.0004654,0.0004654
56,6956.26,0.06701,0.1002,0.55679,0.64668,0.98766,0.96435,0.99062,0.7251,0.98766,0.96435,0.9842,0.60762,0.06234,0.09189,0.50274,0.65945,0.0004555,0.0004555,0.0004555
57,7068.89,0.06498,0.0985,0.55592,0.6415,0.97921,0.97182,0.99092,0.72161,0.98284,0.96706,0.98974,0.59488,0.06224,0.09156,0.50934,0.65861,0.0004456,0.0004456,0.0004456
58,7183.23,0.06536,0.09788,0.54824,0.63971,0.97935,0.96623,0.99032,0.7234,0.98316,0.96998,0.9912,0.61082,0.06212,0.09188,0.50666,0.6576,0.0004357,0.0004357,0.0004357
59,7294.35,0.06561,0.09729,0.5535,0.65392,0.98283,0.96628,0.9914,0.71948,0.98475,0.969,0.99113,0.60747,0.06203,0.09195,0.5022,0.6575,0.0004258,0.0004258,0.0004258
60,7410.53,0.06616,0.1011,0.56381,0.64709,0.98288,0.96435,0.99131,0.72075,0.98096,0.96248,0.99115,0.59405,0.06167,0.09321,0.51127,0.65722,0.0004159,0.0004159,0.0004159
61,7524.93,0.06432,0.09683,0.55365,0.64268,0.98158,0.96623,0.99164,0.71855,0.98158,0.96623,0.99113,0.60002,0.06255,0.09316,0.51425,0.65847,0.000406,0.000406,0.000406
62,7673.49,0.06656,0.10065,0.55092,0.63429,0.98843,0.96811,0.99171,0.72678,0.98663,0.96937,0.99189,0.60977,0.0621,0.09276,0.50338,0.65866,0.0003961,0.0003961,0.0003961
63,7820.44,0.06627,0.09982,0.54665,0.64115,0.98775,0.96811,0.99178,0.72065,0.98966,0.96998,0.99184,0.61095,0.06199,0.09218,0.49604,0.66074,0.0003862,0.0003862,0.0003862
64,7964.83,0.06389,0.09708,0.53832,0.63889,0.99036,0.96359,0.99075,0.717,0.98595,0.96435,0.99006,0.60159,0.06253,0.09307,0.49951,0.66183,0.0003763,0.0003763,0.0003763
65,8111.77,0.06501,0.0977,0.54972,0.63782,0.9865,0.95996,0.98955,0.71264,0.98409,0.96248,0.99055,0.61398,0.06192,0.09147,0.49701,0.65958,0.0003664,0.0003664,0.0003664
66,8253.9,0.06531,0.09817,0.54018,0.6393,0.98154,0.96248,0.99109,0.71819,0.98346,0.96435,0.98742,0.60383,0.06272,0.09161,0.499,0.66587,0.0003565,0.0003565,0.0003565
67,8396.99,0.0633,0.09729,0.52755,0.63332,0.98653,0.96201,0.99107,0.72192,0.98846,0.96389,0.985,0.60136,0.06191,0.09246,0.50222,0.65777,0.0003466,0.0003466,0.0003466
68,8541.65,0.06405,0.09665,0.53369,0.63655,0.98685,0.9606,0.99125,0.72418,0.98848,0.96571,0.99009,0.59856,0.06151,0.09195,0.49963,0.65597,0.0003367,0.0003367,0.0003367
69,8684.13,0.06371,0.09687,0.53352,0.63888,0.98094,0.96549,0.99085,0.72122,0.98284,0.96737,0.98965,0.59531,0.06171,0.09093,0.48727,0.65775,0.0003268,0.0003268,0.0003268
70,8826.98,0.06361,0.09585,0.53345,0.62983,0.98648,0.95809,0.99112,0.72276,0.98915,0.96435,0.99124,0.60057,0.06121,0.09002,0.48547,0.65711,0.0003169,0.0003169,0.0003169
71,8969.54,0.06477,0.09858,0.5382,0.63371,0.98962,0.95685,0.98946,0.72174,0.98456,0.9606,0.98995,0.60434,0.06162,0.09096,0.49393,0.65808,0.000307,0.000307,0.000307
72,9115.79,0.0628,0.09411,0.52774,0.62998,0.98494,0.95872,0.99089,0.71891,0.98494,0.95872,0.99014,0.61054,0.06129,0.09102,0.4979,0.65618,0.0002971,0.0002971,0.0002971
