epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.4,0,113.702,0,0,0,0,0,0,212.059,0,0.00032,0.00032,0.00032
2,369.727,0,91.6121,0,0,0,0,0,0,196.214,0,0.00062733,0.00062733,0.00062733
3,526.708,0,77.1046,0,0,0,0,0,0,123.184,0,0.000901,0.000901,0.000901
4,679.397,0,68.0649,0,0,0,0,0,0,104.534,0,0.00114101,0.00114101,0.00114101
5,832.968,0,61.1512,0,0,0,0,0,0,99.1407,0,0.00134736,0.00134736,0.00134736
