epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.475,1.43874,3.11792,2.52211,1.17571,0.076,0.84444,0.08819,0.03704,0.02733,0.3037,0.01954,0.00618,1.78046,13.3851,2.48169,1.26582,0.0901,0.0001,0.0001
2,232.78,1.28425,2.23048,1.69722,1.06625,0.075,0.83333,0.6408,0.26391,0,0,0,0,1.61818,60.3945,2.40694,1.22142,0.0792058,0.000205842,0.000205842
3,434.763,1.25876,2.12989,1.43069,1.106,0.05167,0.57407,0.41144,0.1502,0.00033,0.0037,0.00017,2e-05,1.49416,54.5109,2.57716,1.21579,0.0683073,0.000307328,0.000307328
4,617.578,1.2488,2.08818,1.237,1.08289,0.06233,0.69259,0.26402,0.10166,0,0,0,0,1.42578,39.718,2.65057,1.18062,0.0574045,0.000404458,0.000404458
5,826.976,1.2627,2.05872,1.16776,1.0896,0.08667,0.96296,0.59487,0.32611,0.05433,0.6037,0.24986,0.06922,1.35829,11.8258,2.34924,1.11103,0.0464972,0.000497232,0.000497232
6,979.658,1.17425,1.90138,1.13018,1.07284,0.8676,0.58246,0.84398,0.50903,0.7843,0.49827,0.68986,0.25909,1.25221,5.17251,2.0153,1.10682,0.0355857,0.00058565,0.00058565
7,1078.04,1.2191,1.89181,1.01985,1.06747,0.94491,0.82578,0.954,0.56661,0.911,0.79615,0.90169,0.44983,1.2936,3.06172,1.65086,1.15138,0.0246697,0.000669712,0.000669712
8,1164.66,1.1481,1.80364,1.03448,1.06673,0.96038,0.80801,0.96998,0.5787,0.94277,0.79319,0.93862,0.51088,1.29863,2.22368,1.69091,1.14952,0.0137494,0.000749418,0.000749418
9,1255.41,1.19941,1.99896,1.04545,1.05942,0.97447,0.56546,0.95266,0.60305,0.97447,0.56546,0.95447,0.51192,1.25108,1.93086,1.90218,1.10539,0.00282477,0.000824768,0.000824768
10,1341.94,1.16119,1.79266,1.0021,1.05784,0.96843,0.87407,0.9723,0.63351,0.97253,0.87778,0.97872,0.53955,1.21497,1.85643,1.508,1.06386,0.0008218,0.0008218,0.0008218
11,1422.4,1.16098,1.80268,0.94432,1.03659,0.96651,0.96206,0.98462,0.64717,0.96651,0.96206,0.98389,0.54944,1.18229,1.7917,1.00697,1.0437,0.000802,0.000802,0.000802
12,1504.28,1.16572,1.78743,0.8934,1.01428,0.96272,0.95641,0.98841,0.65793,0.95526,0.949,0.98417,0.55286,1.16131,1.71442,0.82183,1.05235,0.0007822,0.0007822,0.0007822
13,1584.74,1.1442,1.72049,0.95054,1.05877,0.96052,0.95926,0.98887,0.66879,0.95577,0.96051,0.989,0.56422,1.15714,1.67777,0.81057,1.04468,0.0007624,0.0007624,0.0007624
14,1675.04,1.08726,1.68467,0.91732,1.01651,0.9603,0.93704,0.98713,0.67361,0.96709,0.94074,0.98837,0.55977,1.11485,1.61735,0.81582,1.03388,0.0007426,0.0007426,0.0007426
15,1746.25,1.08191,1.72304,0.95595,1.05076,0.96316,0.96834,0.99192,0.67013,0.96645,0.96014,0.9908,0.57469,1.13132,1.65274,0.85184,1.05207,0.0007228,0.0007228,0.0007228
16,1825.7,1.07561,1.66887,0.88668,1.02919,0.9571,0.97407,0.98983,0.67591,0.9664,0.95556,0.99086,0.58228,1.08878,1.57507,0.81219,1.03288,0.000703,0.000703,0.000703
17,1912.67,1.05392,1.6128,0.85654,1.02837,0.94496,0.95382,0.97573,0.66535,0.95168,0.94824,0.97915,0.57206,1.09857,1.55196,0.80583,1.04252,0.0006832,0.0006832,0.0006832
18,1990.88,1.03365,1.6038,0.88723,1.02204,0.95561,0.95681,0.98041,0.67928,0.95191,0.95311,0.98035,0.58999,1.07921,1.52563,0.77645,1.02363,0.0006634,0.0006634,0.0006634
19,2069.25,1.04621,1.61888,0.86068,1.03301,0.97769,0.97385,0.98829,0.68474,0.97019,0.96436,0.98629,0.60005,1.05975,1.52551,0.75927,1.01296,0.0006436,0.0006436,0.0006436
20,2161.67,1.03302,1.54746,0.85311,1.01336,0.9711,0.98148,0.99312,0.6898,0.97872,0.97407,0.99219,0.59006,1.06866,1.51992,0.73521,1.01397,0.0006238,0.0006238,0.0006238
21,2254.1,1.05261,1.62905,0.83097,1.01073,0.9776,0.98519,0.99237,0.69053,0.9718,0.97778,0.98917,0.58032,1.06172,1.50038,0.72299,1.00998,0.000604,0.000604,0.000604
22,2343.47,1.0645,1.6582,0.82594,1.02028,0.97375,0.98148,0.99118,0.69908,0.97275,0.97037,0.98672,0.58464,1.05025,1.47346,0.71897,1.00572,0.0005842,0.0005842,0.0005842
23,2431.24,1.0204,1.56296,0.81271,1.01795,0.97069,0.98123,0.99238,0.69348,0.96678,0.96995,0.98742,0.61183,1.05513,1.45962,0.7124,1.01084,0.0005644,0.0005644,0.0005644
