epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4675.31,0.07109,0.10551,0.63743,0.66524,0.98442,0.97446,0.99171,0.72622,0.97899,0.96991,0.98994,0.61059,0.06384,0.09528,0.56547,0.66436,0.0007129,0.0007129,0.0007129
31,4841.62,0.0713,0.10821,0.64115,0.65955,0.98276,0.97097,0.9913,0.72124,0.98452,0.96295,0.98922,0.59335,0.06431,0.09481,0.57546,0.66553,0.000703,0.000703,0.000703
32,5001.29,0.07047,0.10481,0.62541,0.65903,0.98577,0.97067,0.99119,0.72293,0.97994,0.965,0.98269,0.61653,0.06393,0.09551,0.56952,0.6626,0.0006931,0.0006931,0.0006931
33,5160.12,0.07101,0.10877,0.62016,0.65393,0.98381,0.97256,0.99116,0.71817,0.97801,0.96878,0.98889,0.60439,0.06476,0.09431,0.56651,0.66876,0.0006832,0.0006832,0.0006832
34,5323.82,0.06999,0.10526,0.61774,0.65623,0.98819,0.97162,0.99138,0.72174,0.98138,0.965,0.98162,0.6227,0.06484,0.09383,0.55598,0.66193,0.0006733,0.0006733,0.0006733
35,5486.77,0.0689,0.10313,0.61958,0.65359,0.98186,0.97302,0.99093,0.72329,0.97614,0.96768,0.98657,0.60246,0.06331,0.09269,0.55235,0.66323,0.0006634,0.0006634,0.0006634
36,5645.02,0.06797,0.10217,0.61261,0.65339,0.98882,0.9754,0.99156,0.72715,0.98558,0.97162,0.98905,0.62865,0.0639,0.09327,0.56099,0.66379,0.0006535,0.0006535,0.0006535
37,5808.36,0.06923,0.10325,0.59969,0.64776,0.98848,0.97377,0.99108,0.72317,0.98367,0.96894,0.98896,0.60213,0.06411,0.09447,0.55401,0.66695,0.0006436,0.0006436,0.0006436
38,5968.68,0.06948,0.10385,0.60665,0.6544,0.98786,0.97446,0.99074,0.72471,0.98458,0.96676,0.98682,0.59831,0.06335,0.09417,0.54209,0.66138,0.0006337,0.0006337,0.0006337
39,6127.22,0.06867,0.1008,0.61148,0.66224,0.98677,0.9754,0.99129,0.73163,0.98181,0.97023,0.98612,0.62336,0.06168,0.09271,0.53811,0.65643,0.0006238,0.0006238,0.0006238
40,6273.06,0.06801,0.10358,0.60174,0.65395,0.98083,0.96809,0.99181,0.7199,0.9759,0.96689,0.98821,0.59273,0.06363,0.09329,0.55263,0.66662,0.0006139,0.0006139,0.0006139
41,6389.69,0.06738,0.09945,0.59052,0.65083,0.98661,0.97613,0.9922,0.7278,0.98364,0.96703,0.98948,0.62063,0.06252,0.09215,0.53628,0.66154,0.000604,0.000604,0.000604
42,6515.65,0.06745,0.10175,0.58858,0.64729,0.9861,0.97351,0.99191,0.72404,0.98142,0.96878,0.98714,0.59853,0.06344,0.09247,0.53262,0.66478,0.0005941,0.0005941,0.0005941
43,6636.87,0.0673,0.10083,0.58596,0.65451,0.98747,0.97635,0.99202,0.72876,0.98268,0.97162,0.98757,0.61435,0.06295,0.09214,0.52867,0.65894,0.0005842,0.0005842,0.0005842
44,6761.01,0.06962,0.10265,0.59823,0.64552,0.98669,0.97446,0.99192,0.73309,0.9818,0.96963,0.98524,0.61989,0.06188,0.09113,0.52522,0.65775,0.0005743,0.0005743,0.0005743
45,6883.32,0.06784,0.10198,0.58615,0.64487,0.989,0.97256,0.99211,0.72252,0.98462,0.96908,0.98855,0.59732,0.06275,0.09142,0.52937,0.65913,0.0005644,0.0005644,0.0005644
46,7012.38,0.06844,0.10338,0.59132,0.64335,0.9856,0.97145,0.99195,0.72903,0.98144,0.96594,0.98917,0.62182,0.06306,0.09326,0.53357,0.65892,0.0005545,0.0005545,0.0005545
47,7146.22,0.06762,0.10047,0.57399,0.6432,0.98469,0.97331,0.99199,0.73429,0.9799,0.96858,0.98851,0.61172,0.06094,0.09179,0.52831,0.65392,0.0005446,0.0005446,0.0005446
48,8306.19,0.06396,0.09654,0.58076,0.64345,0.98309,0.9754,0.99167,0.73017,0.97945,0.97446,0.98733,0.59763,0.06187,0.09345,0.52378,0.65797,0.0005347,0.0005347,0.0005347
49,8466.42,0.06651,0.09949,0.57184,0.64894,0.98839,0.97635,0.99178,0.73554,0.98564,0.97422,0.99024,0.62331,0.06104,0.09181,0.51408,0.65346,0.0005248,0.0005248,0.0005248
50,8626.59,0.06589,0.09687,0.56996,0.63791,0.98139,0.97824,0.99191,0.72698,0.97749,0.97729,0.98816,0.59397,0.06278,0.09265,0.52398,0.66184,0.0005149,0.0005149,0.0005149
51,8787.18,0.06529,0.09747,0.5774,0.65071,0.98848,0.97919,0.99268,0.73303,0.98507,0.97635,0.99005,0.62784,0.06183,0.09073,0.5115,0.65324,0.000505,0.000505,0.000505
52,8944.69,0.0665,0.09852,0.57252,0.65106,0.98948,0.97865,0.99224,0.73595,0.98374,0.9732,0.98625,0.62455,0.06076,0.09086,0.50986,0.65184,0.0004951,0.0004951,0.0004951
53,9104.45,0.06698,0.09946,0.56965,0.6521,0.98478,0.97915,0.9924,0.73018,0.98003,0.97497,0.98238,0.60253,0.06179,0.09102,0.51189,0.66037,0.0004852,0.0004852,0.0004852
54,9265.17,0.06612,0.09905,0.56825,0.6549,0.98625,0.97446,0.99249,0.73953,0.98147,0.96973,0.98297,0.62509,0.06101,0.09026,0.51326,0.6505,0.0004753,0.0004753,0.0004753
55,9421.94,0.06537,0.09905,0.57393,0.64417,0.98435,0.97919,0.99253,0.73592,0.97941,0.97446,0.98819,0.62195,0.0606,0.08955,0.51008,0.65226,0.0004654,0.0004654,0.0004654
56,9585.43,0.06603,0.10058,0.56295,0.64341,0.98571,0.97913,0.99267,0.73783,0.9788,0.9754,0.98795,0.62059,0.06063,0.08988,0.50887,0.65336,0.0004555,0.0004555,0.0004555
57,9753.83,0.06458,0.09794,0.55374,0.63935,0.98283,0.97467,0.99228,0.73744,0.97958,0.97446,0.99126,0.62759,0.06031,0.08983,0.50521,0.65139,0.0004456,0.0004456,0.0004456
58,9915.12,0.06551,0.0995,0.56449,0.64051,0.98171,0.97446,0.9922,0.73616,0.97885,0.97162,0.99091,0.61072,0.0606,0.08966,0.5034,0.65255,0.0004357,0.0004357,0.0004357
59,10078.1,0.06716,0.10128,0.57022,0.64804,0.97897,0.96867,0.99108,0.73416,0.97759,0.96405,0.98915,0.60898,0.06076,0.09262,0.5148,0.65303,0.0004258,0.0004258,0.0004258
60,10241.3,0.06625,0.09833,0.5564,0.63739,0.97712,0.97256,0.99137,0.73381,0.97792,0.96379,0.98875,0.63004,0.06144,0.09022,0.51765,0.65458,0.0004159,0.0004159,0.0004159
61,10427,0.0641,0.0968,0.5484,0.63963,0.98463,0.9698,0.9922,0.7321,0.97617,0.96889,0.98775,0.60638,0.06166,0.09167,0.51772,0.65612,0.000406,0.000406,0.000406
62,10598.1,0.06469,0.09836,0.54955,0.64038,0.98731,0.97162,0.99229,0.73401,0.98251,0.96783,0.98914,0.61442,0.06061,0.09017,0.5059,0.65297,0.0003961,0.0003961,0.0003961
63,10753.7,0.06437,0.0971,0.54697,0.65001,0.98928,0.97446,0.99204,0.73536,0.98717,0.97162,0.98899,0.62494,0.06072,0.08921,0.50107,0.65191,0.0003862,0.0003862,0.0003862
64,10909.7,0.06524,0.09714,0.55642,0.64814,0.98755,0.97542,0.9921,0.7327,0.9837,0.97162,0.98849,0.60328,0.06118,0.08907,0.50248,0.65666,0.0003763,0.0003763,0.0003763
65,11025.4,0.06546,0.09828,0.55347,0.64238,0.99078,0.97351,0.99233,0.73939,0.98693,0.96973,0.98992,0.63092,0.06035,0.08846,0.49908,0.64966,0.0003664,0.0003664,0.0003664
66,11137.5,0.06677,0.09974,0.56069,0.6428,0.99199,0.97067,0.9924,0.74371,0.98813,0.96689,0.98958,0.62832,0.05952,0.08837,0.49541,0.64886,0.0003565,0.0003565,0.0003565
67,11261.7,0.06436,0.09738,0.54168,0.64493,0.98755,0.9758,0.99203,0.74145,0.98277,0.97107,0.98708,0.62229,0.05972,0.08978,0.50198,0.64777,0.0003466,0.0003466,0.0003466
68,11388.1,0.06497,0.09563,0.5425,0.64069,0.98772,0.97162,0.99217,0.73916,0.9858,0.96973,0.99052,0.63063,0.06043,0.08926,0.49951,0.65104,0.0003367,0.0003367,0.0003367
69,11516.6,0.06491,0.09888,0.54108,0.63136,0.98754,0.97469,0.99255,0.74232,0.98332,0.97162,0.9898,0.62322,0.05956,0.08942,0.48514,0.64963,0.0003268,0.0003268,0.0003268
70,11634,0.06373,0.09676,0.54214,0.63894,0.98853,0.97822,0.99272,0.74078,0.98472,0.97552,0.99031,0.62233,0.05994,0.08995,0.49241,0.649,0.0003169,0.0003169,0.0003169
71,11753.1,0.06406,0.09592,0.53867,0.63457,0.9885,0.97585,0.9931,0.74382,0.98409,0.97446,0.9923,0.61719,0.05973,0.08937,0.4912,0.64941,0.000307,0.000307,0.000307
72,12054.3,0.06326,0.09322,0.5328,0.63827,0.99112,0.97256,0.99291,0.74148,0.98823,0.96973,0.99076,0.62478,0.05975,0.08883,0.4922,0.64933,0.0002971,0.0002971,0.0002971
73,12166.3,0.06251,0.09581,0.53061,0.63386,0.98174,0.97729,0.99274,0.73612,0.97672,0.9754,0.99003,0.61499,0.06019,0.08975,0.48953,0.65111,0.0002872,0.0002872,0.0002872
74,12278.2,0.06557,0.09899,0.54487,0.63111,0.98012,0.97951,0.99255,0.73366,0.97623,0.9714,0.98833,0.60848,0.06065,0.08983,0.4891,0.65701,0.0002773,0.0002773,0.0002773
75,12397.5,0.06412,0.09529,0.53286,0.63603,0.97835,0.98332,0.9927,0.73878,0.9862,0.97067,0.99034,0.62797,0.06007,0.08855,0.48632,0.64867,0.0002674,0.0002674,0.0002674
76,12518.7,0.06472,0.09719,0.54581,0.63846,0.98499,0.9754,0.9927,0.74105,0.98297,0.97351,0.99076,0.61971,0.05988,0.08822,0.48397,0.65118,0.0002575,0.0002575,0.0002575
77,12644.7,0.06186,0.09207,0.52242,0.63088,0.98476,0.97784,0.99229,0.73796,0.9838,0.97351,0.99067,0.61151,0.06019,0.0883,0.48731,0.65398,0.0002476,0.0002476,0.0002476
78,12766.3,0.06305,0.09326,0.53044,0.63236,0.9826,0.97351,0.99194,0.7429,0.98389,0.96973,0.99112,0.62087,0.05905,0.08826,0.48801,0.64629,0.0002377,0.0002377,0.0002377
