epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.223,1.47579,3.5079,2.83085,1.22116,0.05867,0.65185,0.05394,0.02134,0.01267,0.14074,0.00778,0.0022,1.68437,18.6706,2.77833,1.25497,0.09505,5e-05,5e-05
2,242.872,1.32334,2.48809,2.09233,1.0962,0.01167,0.12963,0.00841,0.00278,0.00633,0.07037,0.00418,0.00088,1.89447,12.3346,2.65171,1.48396,0.0891089,0.000108911,0.000108911
3,342.453,1.32178,2.30825,1.58516,1.10836,0,0,0,0,0,0,0,0,1.95671,52.3882,2.82835,1.52033,0.0831666,0.000166634,0.000166634
4,428.539,1.27355,2.19923,1.27288,1.08144,0.00433,0.04815,0.00264,0.00101,0.00833,0.09259,0.00576,0.0012,1.68776,16.9155,2.91091,1.36653,0.0772232,0.000223169,0.000223169
5,519.454,1.19984,2.09706,1.1881,1.07519,0.032,0.35556,0.04134,0.01671,0.019,0.21111,0.01657,0.00404,1.57371,13.9227,2.96922,1.2751,0.0712785,0.000278516,0.000278516
6,612.001,1.2447,2.0971,1.10566,1.09011,0.08333,0.92593,0.37155,0.17682,0.04733,0.52593,0.10636,0.02399,1.36802,17.4473,2.89142,1.12493,0.0653327,0.000332675,0.000332675
7,704.721,1.16613,1.94438,1.06691,1.05927,0.08733,0.97037,0.82718,0.47393,0.059,0.65556,0.30583,0.09426,1.27302,12.3922,2.80657,1.07,0.0593856,0.000385646,0.000385646
8,791.619,1.16553,1.86454,1.02714,1.06642,0.08933,0.99259,0.78434,0.45951,0.06233,0.69259,0.29094,0.09319,1.26092,10.4386,2.94923,1.07054,0.0534374,0.000437429,0.000437429
9,890.21,1.16716,1.93514,0.93632,1.05218,0.11043,1,0.84634,0.49466,0.08425,0.76296,0.4214,0.13707,1.28482,7.33243,2.79097,1.07261,0.047488,0.000488024,0.000488024
10,993.095,1.13846,1.77513,0.87591,1.02737,0.12173,1,0.81516,0.4863,0.11046,0.90741,0.64001,0.24686,1.21801,4.1564,2.56843,1.02961,0.0415374,0.000537431,0.000537431
11,1110.31,1.13186,1.75923,0.86983,1.0351,0.1219,1,0.82603,0.50764,0.12009,0.98519,0.79507,0.35133,1.19366,2.74769,2.29733,1.0417,0.0355857,0.00058565,0.00058565
12,1233.02,1.13347,1.77907,0.84201,1.04282,0.79717,0.85886,0.80549,0.52651,0.73394,0.82756,0.72512,0.33192,1.163,2.83617,2.15607,1.03393,0.0296327,0.000632681,0.000632681
13,1446.79,1.09392,1.7209,0.83096,1.02896,0.88283,0.64185,0.85085,0.53124,0.85227,0.61963,0.81351,0.37623,1.23621,2.36394,1.90926,1.07109,0.0236785,0.000678524,0.000678524
14,1637.38,1.09626,1.69612,0.83783,1.02323,0.91041,0.79042,0.89776,0.56108,0.89335,0.7756,0.8826,0.43632,1.26729,2.07095,1.65372,1.08749,0.0177232,0.000723179,0.000723179
15,1767.2,1.08726,1.7321,0.84036,1.04885,0.92735,0.85098,0.92636,0.62855,0.91406,0.84444,0.91956,0.4986,1.13584,1.87244,1.53841,1.02551,0.0117666,0.000766646,0.000766646
16,1882.38,1.07218,1.63395,0.81156,1.01723,0.87598,0.88945,0.90252,0.5985,0.87023,0.89259,0.89165,0.47793,1.13677,1.75037,1.44509,1.0009,0.00580892,0.000808925,0.000808925
17,2018.23,1.05229,1.60422,0.78202,1.00408,0.85867,0.9,0.88974,0.57583,0.86573,0.90741,0.89259,0.4878,1.17041,1.706,1.3723,0.99538,0.0008416,0.0008416,0.0008416
18,2132.01,1.06252,1.59809,0.80879,1.0235,0.84232,0.91015,0.89399,0.58827,0.84403,0.93704,0.89938,0.51155,1.11309,1.63231,1.07023,0.98341,0.0008317,0.0008317,0.0008317
19,2234.96,1.02272,1.58372,0.7746,1.01005,0.87309,0.94815,0.91506,0.60033,0.87357,0.94074,0.91558,0.53318,1.14679,1.64348,0.98949,1.00085,0.0008218,0.0008218,0.0008218
20,2355.94,1.00724,1.54197,0.75002,0.99365,0.86221,0.95018,0.92723,0.62892,0.85549,0.94278,0.91696,0.52068,1.1085,1.61584,0.90733,1.01468,0.0008119,0.0008119,0.0008119
21,2452.72,1.05857,1.60648,0.76925,1.01745,0.86711,0.94815,0.93299,0.63982,0.87402,0.9507,0.93708,0.52963,1.10773,1.59202,0.91322,1.01466,0.000802,0.000802,0.000802
22,2536.65,1.03681,1.55806,0.74259,0.99212,0.98075,0.94354,0.98665,0.69197,0.98065,0.93844,0.9856,0.58455,1.06335,1.5483,0.80053,1.01514,0.0007921,0.0007921,0.0007921
23,2629.69,1.01819,1.57539,0.74307,0.99662,0.96816,0.96667,0.99172,0.69912,0.96816,0.96667,0.99133,0.57255,1.06337,1.55078,0.73956,1.01544,0.0007822,0.0007822,0.0007822
24,2737.73,0.99838,1.53317,0.72608,0.98642,0.97839,0.95556,0.99253,0.68037,0.9746,0.95185,0.99095,0.56209,1.10993,1.55471,0.71933,1.02994,0.0007723,0.0007723,0.0007723
25,2820.41,1.02593,1.56983,0.74642,0.99516,0.97411,0.97545,0.99281,0.68083,0.96672,0.96816,0.98682,0.57243,1.10418,1.55731,0.70377,1.03391,0.0007624,0.0007624,0.0007624
26,2914.3,1.01729,1.50702,0.7099,0.99407,0.98513,0.97037,0.99325,0.69594,0.98137,0.96667,0.99207,0.57142,1.06494,1.60859,0.71291,1.0206,0.0007525,0.0007525,0.0007525
27,3007.48,0.99645,1.50028,0.71479,0.99114,0.97772,0.97518,0.99382,0.69661,0.97029,0.96777,0.98988,0.5744,1.06056,1.63423,0.71089,1.02074,0.0007426,0.0007426,0.0007426
28,3101.48,1.0477,1.5885,0.73434,1.00596,0.98883,0.98384,0.99437,0.68354,0.97525,0.97407,0.98828,0.57168,1.07215,1.58115,0.71457,1.02086,0.0007327,0.0007327,0.0007327
29,3454.67,1.00201,1.48959,0.70262,1.00191,0.9816,0.98889,0.99441,0.68504,0.97058,0.97778,0.98348,0.57013,1.06641,1.54994,0.7118,1.02293,0.0007228,0.0007228,0.0007228
30,4040.97,1.0368,1.60589,0.70348,0.9844,0.98086,0.98519,0.99415,0.69475,0.97314,0.97778,0.98486,0.59073,1.06624,1.51876,0.69909,1.01717,0.0007129,0.0007129,0.0007129
31,4669.38,1.02746,1.52724,0.69672,0.98407,0.98881,0.98519,0.99417,0.69842,0.98228,0.98148,0.99303,0.59459,1.06015,1.48767,0.67777,1.01519,0.000703,0.000703,0.000703
32,4736.05,1.01309,1.56207,0.68568,0.97604,0.98207,0.97778,0.99364,0.69668,0.98579,0.98148,0.99419,0.58291,1.05089,1.45883,0.66413,1.01277,0.0006931,0.0006931,0.0006931
33,4800.9,0.97084,1.44725,0.66823,0.98498,0.97422,0.9797,0.99302,0.68901,0.98157,0.98616,0.99418,0.57724,1.05538,1.48778,0.66646,1.0132,0.0006832,0.0006832,0.0006832
34,4859.39,0.94206,1.40885,0.68346,0.98011,0.97782,0.97948,0.99151,0.69663,0.9866,0.98148,0.99294,0.58116,1.03585,1.5116,0.66605,1.00532,0.0006733,0.0006733,0.0006733
